,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
24,,,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,,,
25,,,¡Ì,¡Ì,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,NO,NO,NO
26,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì
27,¡Ì,,,,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,NO
28,,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,,¡Ì
29,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,NO
30,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì
31,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì
32,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,NO
33,,,,,,,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì
34,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,NO
35,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,
36,,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì
37,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,¡Ì,¡Ì,¡Ì,¡Ì,,,,,,,,¡Ì,¡Ì,¡Ì,,¡Ì,¡Ì,¡Ì,NO,NO,NO
38,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,
39,,¡Ì,¡Ì,¡Ì,,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,NO
40,,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì
41,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,NO
42,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì
43,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,NO
44,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
45,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
46,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
47,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
